Gene,WGCNA_Modules, IntraModular Connectivity,
Os08g0253800,Turquoise,47.924191508989,
Os03g0795800,Blue,47.867231064805,
Os08g0561800,Turquoise,47.7643412728176,
Os06g0552400,Blue,47.744822402623,
Os04g0275950,Blue,47.7406689247557,
Os01g0314100,Blue,47.6841697039175,
Os01g0749200,Green,47.6826254531379,
Os06g0571400,Yellow,47.6491672620614,
Os08g0162800,Turquoise,47.4123165297005,
Os04g0106300,Blue,47.3483289482304,
Os06g0163300,Turquoise,47.340247168197,
Os12g0502300,Turquoise,47.3248117548337,
Os09g0521400,Turquoise,47.2366576511516,
Os08g0266700,Turquoise,47.1461607653248,
Os11g0536800,Blue,47.0706944002309,
Os08g0310100,Yellow,47.0635529077571,
Os12g0583700,Blue,47.0313295316198,
Os01g0894700,Green,47.0268094170676,
Os05g0513400,Blue,46.9807390263575,
Os02g0744000,Green,46.9658275937467,
Os09g0567366,Green,46.9259944833343,
Os11g0648000,Blue,46.9075893516081,
Os06g0705100,Green,46.9027835625876,
Os04g0379700,Green,46.8767055756199,
Os05g0122600,Turquoise,46.8495400620214,
Os12g0233300,Green,46.8306735830302,
Os12g0182200,Yellow,46.8243371481505,
Os11g0696200,Turquoise,46.7902596111798,
Os02g0742800,Turquoise,46.7465015264772,
Os07g0556200,Green,46.7017212078097,
Os03g0292800,Turquoise,46.699832846325,
Os03g0278000,Turquoise,46.6851449002193,
Os03g0859800,Blue,46.4717252145458,
Os02g0555700,Turquoise,46.3491015079566,
Os03g0154700,Yellow,46.3004472287225,
Os01g0861900,Turquoise,46.1227907168628,
Os07g0565600,Green,46.11737301613,
Os02g0621500,Blue,46.1067083471094,
Os01g0738300,Turquoise,46.092087429873,
Os01g0276000,Yellow,46.0544011539841,
Os04g0643000,Blue,46.0526166136955,
Os09g0507400,Blue,46.0384880492894,
Os01g0896400,Turquoise,46.016235437506,
Os03g0798600,Yellow,45.9970801147532,
Os01g0211800,Turquoise,45.963586735567,
Os02g0481700,Blue,45.9532850719706,
Os09g0568400,Yellow,45.9470111127385,
Os04g0224900,Blue,45.9185351055948,
Os05g0279400,Blue,45.9048937726423,
Os01g0823300,Yellow,45.8798139007202,
Os03g0171300,Turquoise,45.8689937842873,
Os02g0265900,Blue,45.8666362040603,
Os03g0828100,Green,45.8634007077805,
Os01g0200000,Blue,45.8462353150808,
Os04g0615100,Blue,45.8362330594324,
Os03g0827700,Green,45.8213681768096,
Os12g0104400,Turquoise,45.8017806547766,
Os02g0697800,Turquoise,45.7935424069998,
Os03g0810800,Turquoise,45.7389612892955,
Os03g0859900,Turquoise,45.6773147025914,
Os06g0154900,Blue,45.6641118852277,
Os12g0405700,Yellow,45.6454858944986,
Os06g0159450,Turquoise,45.6412704309915,
Os11g0638000,Green,45.6273509734382,
Os04g0422000,Green,45.6257366023125,
Os03g0297100,Yellow,45.5858425036746,
Os04g0486800,Turquoise,45.5625376792021,
Os02g0670000,Blue,45.5107042496062,
Os03g0304500,Turquoise,45.4803426259086,
Os06g0136000,Blue,45.4590683389946,
Os04g0376000,Yellow,45.443777671499,
Os02g0610800,Green,45.4432957278305,
Os06g0227300,Turquoise,45.4419500825448,
Os08g0154300,Turquoise,45.4120623621772,
Os02g0284600,Yellow,45.4020886929345,
Os07g0296000,Blue,45.384230452334,
Os01g0108000,Blue,45.3627765357815,
Os10g0478200,Turquoise,45.2962898936017,
Os04g0642100,Turquoise,45.2903228731548,
Os06g0103300,Blue,45.2598331173889,
Os03g0209500,Turquoise,45.2562226593992,
Os03g0322800,Blue,45.2536979305206,
Os10g0170200,Yellow,45.2531199187807,
Os03g0416200,Turquoise,45.221801298357,
Os03g0835400,Blue,45.2005155760164,
Os03g0718100,Turquoise,45.1795876829705,
Os02g0102400,Yellow,45.0712506764185,
Os01g0251100,Yellow,45.0581703981134,
Os04g0105700,Green,45.024780755149,
Os11g0433900,Yellow,44.9675847520325,
Os03g0135200,Turquoise,44.9583571361985,
Os12g0291100,Green,44.9172382459728,
Os04g0631800,Blue,44.8556880648163,
Os03g0736400,Green,44.798553210303,
Os02g0259600,Green,44.7757626136003,
Os05g0140100,Turquoise,44.7227196012763,
Os05g0176000,Yellow,44.6931500837253,
Os05g0119850,Turquoise,44.6782498732844,
Os02g0111700,Yellow,44.6513021140293,
Os02g0591700,Yellow,44.6195327912965,
Os12g0548100,Turquoise,44.6058217877455,
Os02g0489400,Yellow,44.5034776992141,
Os05g0135200,Turquoise,44.4304570891281,
Os08g0359500,Yellow,44.3574732504322,
Os03g0249400,Yellow,44.3373496133936,
Os04g0487100,Turquoise,44.3252045769829,
Os12g0633200,Turquoise,44.2986472206185,
Os02g0803200,Yellow,44.2862152848605,
Os05g0463900,Blue,44.2678520686272,
Os09g0556300,Turquoise,44.2504285084699,
Os03g0429800,Blue,44.2425804890453,
Os01g0618400,Green,44.1923014373408,
Os01g0842400,Turquoise,44.1446886944027,
Os03g0818100,Blue,44.1257853819986,
Os08g0474700,Blue,44.1186496090919,
Os07g0232200,Blue,44.0919514087568,
Os11g0602600,Yellow,44.0894423802213,
Os02g0595700,Green,44.0775587268086,
Os05g0210500,Turquoise,43.9616666142994,
Os08g0224300,Green,43.889863030982,
Os03g0626200,Yellow,43.7878998169949,
Os11g0629400,Turquoise,43.7603663620141,
Os05g0563550,Turquoise,43.6347192357726,
Os04g0659900,Blue,43.6333453430823,
Os04g0551800,Yellow,43.5403500867488,
Os03g0758700,Turquoise,43.5056421865444,
Os02g0601100,Blue,43.4675381173467,
Os02g0591500,Turquoise,43.4518990423972,
Os03g0113800,Turquoise,43.4272727915461,
Os05g0459900,Yellow,43.3874461676777,
Os03g0577100,Turquoise,43.3863112347979,
Os07g0513000,Green,43.3495921577543,
Os12g0406200,Yellow,43.2686643219494,
Os01g0680900,Turquoise,43.2513519008556,
Os07g0635700,Turquoise,43.2155207204187,
