id,Label,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,
152,Os05g0484800,17.5172102041206,3939,GreenYellow,11.4263034870202,
153,Os06g0246500,29.4335374130258,2047,Tan,13.8859476822957,
154,Os08g0564300,9.26346000732091,6591,Magenta,2.33647653412769,
155,Os10g0124150,9.26308743961509,6592,Black,5.08825172467127,
156,Os01g0719100,1.8828364848758,11592,Grey60,0.411781575326661,
157,Os06g0332400,14.1522932671761,4865,Black,5.28940910689276,
158,Os01g0234900,4.56218851191536,9222,Green,2.76685432397727,
159,Os05g0529000,26.5905166897334,2381,Black,10.8452858735936,
160,Os03g0177000,5.97238407183208,8299,Black,3.48852266401789,
161,Os07g0537400,6.08984755307893,8220,Blue,1.75340119103353,
162,Os07g0438700,35.2946958633503,1553,Magenta,12.5623149064874,
163,Os02g0827500,25.3015709212952,2558,Black,7.88609762699808,
164,Os03g0324200,14.4536265314139,4770,Black,6.29794898431658,
165,Os07g0231500,3.34136310165667,10197,Salmon,1.61816565803036,
166,Os01g0232500,2.85105430169911,10623,Grey60,1.56947916260866,
167,Os02g0510600,2.52406415710706,10933,Turquoise,1.61450292087186,
168,Os11g0621500,1.90289905713523,11571,Brown,1.23047392874914,
169,Os03g0765800,4.04774162287081,9627,Brown,2.40698471420595,
170,Os03g0440900,5.16341649074067,8797,Red,2.46531914871877,
171,Os05g0563900,19.6715413889569,3490,Magenta,7.96898350127286,
172,Os04g0679000,8.39590837221933,7004,lightYellow,4.58880292176895,
173,Os11g0162700,15.0778606619879,4596,Brown,12.437473257682,
174,Os08g0201100,9.06592494626016,6683,Magenta,3.67543462230456,
175,Os01g0305200,25.4077507236251,2543,lightYellow,6.76972039080146,
176,Os03g0781700,16.9758395663205,4070,Red,12.1288792543475,
177,Os09g0511300,4.20291640168171,9517,royalBlue,1.92232954025288,
178,Os03g0169900,6.84805110694696,7787,Yellow,1.49269425993213,
179,Os02g0186800,3.50152372551087,10062,Turquoise,2.15607652601632,
180,Os09g0489500,9.88680329717959,6349,Brown,6.48984647808544,
181,Os04g0445050,28.4011233020754,2158,Green,12.9198177971111,
182,Os07g0245100,56.0144438477488,623,Red,17.2377443035794,
183,Os02g0221600,18.0322388442267,3815,Black,5.66870701836435,
184,Os01g0558100,18.9649450860158,3636,Magenta,5.95588412390466,
185,Os01g0534900,6.81378741927858,7806,GreenYellow,2.44467814117168,
186,Os02g0712500,18.6704468800728,3686,Magenta,6.64263491143145,
187,Os06g0716100,3.8157039358561,9812,Black,1.85517732894357,
188,Os05g0208550,14.8424028679392,4659,GreenYellow,7.55591137750952,
189,Os01g0732801,8.71596648005487,6848,MidnightBlue,1.89652416578117,
190,Os01g0167400,1.4454034974031,12083,Magenta,0.632025853938495,
191,Os09g0452200,70.9645139095601,316,Turquoise,60.3451636535339,
192,Os12g0158700,0.436527168862628,13297,GreenYellow,0.157194179894334,
193,Os03g0786000,7.00279594631664,7697,Magenta,1.96529954503289,
194,Os10g0450800,6.97886942634421,7707,Black,2.09716858087441,
195,Os03g0114800,4.59989060103334,9200,lightYellow,1.59598232895501,
196,Os02g0824500,28.4552705016832,2153,Magenta,22.2783131506295,
197,Os07g0170016,4.42556564859167,9336,Yellow,0.922689301961335,
198,Os09g0365900,14.9568641533263,4626,lightYellow,6.73186408676651,
199,Os01g0304400,10.2304116067051,6235,MidnightBlue,5.00761957586658,
200,Os05g0479800,19.041180793138,3623,Brown,17.5195159891972,
201,Os12g0147800,26.8548473955721,2343,Black,15.3421128018698,
